	Cloud and Capacity	Vmware stack 	VMware Cloud Technical specialist		Virtualization 	understand the basics (Gareth intro) 	knowledge based on Vmware Vsphere ICM training 	VCP (knowledge and certifications/contract) 	"knows the difference between Virtualization Hypervisors (Vmware, Hyper V, OpenStack) "									
Microsoft 	Cloud and Capacity	MS Stack	Microsoft Cloud Technical Specialist	MS Operating System 	Operating System - Windows Server: Active Directory Domain Services				"Maitenance 
*Maintain configuration according to actual standard
*Monitoring health, solving incidents"	"Installation 
*AD DS, DNS configuration according to planned design
*GPO configuration according to plan

Maitenance 
*Maintain configuration according to actual standard
*Solving errors, nonexpected behaviour
*Monitoring health, solving incidents"		"Planning 
*designing AD domain(s)/forests (incl. capcaity variants redundancy, naming convention, DNS, trusts …, backup, security, GPO)
*defining HW&SW configuration parameters criteria"	"Planning 
*designing AD domain(s)/forests (incl. capcaity variants redundancy, naming convention, DNS, trusts …, backup, security, GPO)
*defining HW&SW configuration parameters criteria"					
Microsoft 	Cloud and Capacity	MS Stack	Microsoft Cloud Technical Specialist	MS Operating System 	Operating System - Windows Server: Group Policies 					"Installation 
*creating designed GPO objects

Maintenance 
*Monitoring health, solving incidents"		"Planning
*designing new/change/deleting GPOs, incl. inheritance, targeting, permissions & WMI filtering

Ordering
*defining requirements for GPO changes"	"Planning
*designing new/change/deleting GPOs, incl. inheritance, targeting, permissions & WMI filtering

Ordering
*defining requirements for GPO changes"					
Microsoft 	Cloud and Capacity	MS Stack	Microsoft Cloud Technical Specialist	MS Operating System 	Operating System - Windows Server: Remote Desktop Services 		"Maintenance 
* limited RDP users support"	"

Maintenance 
*Monitoring health, solving incidents
* limited RDP users support"	"
Maintenance 
*Monitoring health, solving incidents
* limited RDP users support"	"Installation
*Configuring Remote desktp role incl. Remote Apps, RD Broker,RD gateway, licensing 

Maintenance 
*Monitoring health, solving incidents
* limited RDP users support"			"Planning
*designing RDP configuration parameters specific for TPC jumps (incl. capacity, architecture - Remote Apps, RD Broker,RD gateway. Security design, Licensing design) 
*designing HW requirements, network requirements
"					
Microsoft 	Cloud and Capacity	MS Stack	Microsoft Cloud Technical Specialist	Microsoft 	Automation: OS Patching 			"Maintenance 
**management of membership in patching collections (tools available nowdays - SCVMM patching, SCCM patching, WSUS)"	"Maintenance 
*creating patching reports, management of patch removal when necessary (tools available nowdays - SCVMM patching, SCCM patching, WSUS, MS update online) 
*management of membership in patching collections (tools available nowdays - SCVMM patching, SCCM patching, WSUS)"	"Installation
*Manual/semiauto/auto patching of OS (tools available nowdays - SCVMM patching, SCCM patching, WSUS, MS update online)

Maintenance 
*creating patching reports, management of patch removal when necessary (tools available nowdays - SCVMM patching, SCCM patching, WSUS, MS update online) 
*management of membership in patching collections (tools available nowdays - SCVMM patching, SCCM patching, WSUS)"		"Planning 
*Designing time plans, baseline criteria, implementation method, reporting method (tools available nowdays - SCVMM patching, SCCM patching, WSUS, MS update online)"	"Planning 
*Designing time plans, baseline criteria, implementation method, reporting method (tools available nowdays - SCVMM patching, SCCM patching, WSUS, MS update online)"					
Microsoft 	Cloud and Capacity	MS Stack	Microsoft Cloud Technical Specialist	Microsoft 	HW specific drivers&firmware&utils patching			"Installation
*Implementing drivers&firmaware&utilities acording to plan (currently HP/Dell)

Maintenance 
*manuall HW specific drivers&firmware&utils installation when needed (after HW components replacing or when specific computers should differ from standard) "	"Installation
*Implementing drivers&firmaware&utilities acording to plan (currently HP/Dell)

Maintenance 
*manuall HW specific drivers&firmware&utils installation when needed (after HW components replacing or when specific computers should differ from standard) "	"Installation
*Implementing drivers&firmaware&utilities acording to plan (currently HP/Dell)

Maintenance 
*manuall HW specific drivers&firmware&utils installation when needed (after HW components replacing or when specific computers should differ from standard) "		"Planning 
*Designing baseline according to HW vendor requirements and support matrixes (currently HP/Dell)"	"Planning 
*Designing baseline according to HW vendor requirements and support matrixes (currently HP/Dell)"					
Microsoft 	Cloud and Capacity	MS Stack	Microsoft Cloud Technical Specialist	Windows Server 	Windows Server: Licensing 		"Installation
*Licensing the customer server according to ordered method

Maintenance
*License reports according to ordered method

Decomissioning
*remove/reuse/decomission license "	"Installation
*Licensing the customer server according to ordered method

Maintenance
*License reports according to ordered method

Decomissioning
*remove/reuse/decomission license "	"Installation
*Licensing the customer server according to ordered method

Maintenance
*License reports according to ordered method

Decomissioning
*remove/reuse/decomission license "	"Installation
*Licensing the customer server according to ordered method

Maintenance
*License reports according to ordered method

Decomissioning
*remove/reuse/decomission license "	"Planning 
*designing license methods (KMS, Host based, manual)
"	"Planning 
*designing license methods (KMS, Host based, manual)
*designing license report methods"	"Planning 
*designing license methods (KMS, Host based, manual)
*designing license report methods"					
Microsoft 	Cloud and Capacity	MS Stack	Microsoft Cloud Technical Specialist	Windows Server 	Windows Server: Life Cycle  		"Maintenance 
*Monitoring VM health
*management of VM custom attributes
*management of VM availability"	"Installation 
*VM implementation according to Order

Maintenance 
*Monitoring VM health
*management of VM custom attributes
*management of VM availability
"	"Installation 
*VM implementation according to Order

Maintenance 
*Monitoring VM health
*management of VM custom attributes
*management of VM availability
*Monitoring capacity and performance of Host resources for VM "	"Installation 
*VM implementation according to Order

Maintenance 
*Monitoring VM health
*management of VM custom attributes
*management of VM availability
*Monitoring capacity and performance of Host resources for VM "	"Planning 
*designing standard VM configuration, supported versions, parameters for deployed VMs
*designing monitoring, patching, backup, antivirus, reporting, accounting "	"Planning 
*designing standard VM configuration, supported versions, parameters for deployed VMs
*designing monitoring, patching, backup, antivirus, reporting, accounting "	"Planning 
*designing standard VM configuration, supported versions, parameters for deployed VMs
*designing monitoring, patching, backup, antivirus, reporting, accounting "					
Microsoft 	Cloud and Capacity	MS Stack	Microsoft Cloud Technical Specialist	Windows Client 	Windows Client: Licensing 		"Installation 
*Licensing the customer client OS according to ordered method

Maintenance 
*License reports according to ordered method 

Decomissioning 
*remove/reuse/ decomission license"	"Installation 
*Licensing the customer client OS according to ordered method

Maintenance 
*License reports according to ordered method 

Decomissioning 
*remove/reuse/ decomission license"	"Installation 
*Licensing the customer client OS according to ordered method

Maintenance 
*License reports according to ordered method 

Decomissioning 
*remove/reuse/ decomission license"	"Installation 
*Licensing the customer client OS according to ordered method

Maintenance 
*License reports according to ordered method 

Decomissioning 
*remove/reuse/ decomission license"			"Planning 
*designing license methods (KMS, manual)
*designing license report methods "					
Microsoft 	Cloud and Capacity	MS Stack	Microsoft Cloud Technical Specialist	Windows Client 	Windows Client: Life Cycle 		"Installation 
* VM implementation according to Order

Maintenance 
*Monitoring VM health 
*management of VM custom attributes 
*management of VM availability "	"Installation 
* VM implementation according to Order

Maintenance 
*Monitoring VM health 
*management of VM custom attributes 
*management of VM availability "	"Installation 
* VM implementation according to Order

Maintenance 
*Monitoring VM health 
*management of VM custom attributes 
*management of VM availability 
*Monitoring capacity and performance of Host resources for VM"	"Installation 
* VM implementation according to Order

Maintenance 
*Monitoring VM health 
*management of VM custom attributes 
*management of VM availability 
*Monitoring capacity and performance of Host resources for VM"			"Planning 
*designing standard VM configuration, supported versions, parameters for deployed VMs 
*designing monitoring, patching, backup, antivirus, reporting, accounting "					
UNIX 	Cloud and Capacity	MS Stack	Microsoft Cloud Technical Specialist	RedHat 	RedHat Enterprise: Life Cycle  		"Maintenance
*management of VM custom attributes
*management of VM availability "	"Maintenance
*Monitoring VM health
*management of VM custom attributes
*management of VM availability "	"Maintenance
*Monitoring VM health
*management of VM custom attributes
*management of VM availability 
*Monitoring capacity and performance of Host resources for VM"	"Installation 
*VM implementation according to Order 

Maintenance
*Monitoring VM health
*management of VM custom attributes
*management of VM availability 
*Monitoring capacity and performance of Host resources for VM"								
